date,AQI
06/19/2020,55
06/20/2020,59
06/21/2020,59
06/22/2020,63
06/23/2020,59
06/24/2020,61
06/25/2020,52
06/26/2020,50
06/27/2020,40
06/28/2020,13
06/29/2020,16
06/30/2020,45
07/01/2020,49
07/02/2020,54
07/03/2020,51
07/04/2020,63
07/05/2020,120
07/06/2020,60
07/07/2020,58
07/08/2020,61
07/09/2020,61
07/10/2020,63
07/11/2020,51
07/12/2020,51
07/13/2020,58
07/14/2020,57
07/15/2020,57
07/16/2020,52
07/17/2020,47
07/18/2020,44
07/19/2020,38
07/20/2020,45
07/21/2020,51
07/22/2020,52
07/23/2020,44
07/24/2020,45
07/25/2020,53
07/26/2020,54
07/27/2020,48
07/28/2020,55
07/29/2020,59
07/30/2020,60
07/31/2020,50
08/01/2020,39
08/02/2020,51
08/03/2020,55
08/04/2020,55
08/05/2020,48
08/06/2020,53
08/07/2020,54
08/08/2020,60
08/09/2020,60
08/10/2020,54
08/11/2020,45
08/13/2020,40
08/14/2020,67
08/15/2020,58
08/16/2020,52
08/17/2020,63
08/18/2020,62
08/19/2020,64
08/20/2020,68
08/21/2020,63
08/22/2020,57
08/23/2020,55
08/24/2020,48
08/25/2020,44
08/26/2020,35
08/27/2020,51
08/28/2020,59
08/29/2020,54
08/30/2020,55
08/31/2020,55
09/01/2020,54
09/02/2020,54
09/03/2020,66
09/04/2020,77
09/05/2020,57
09/06/2020,56
09/07/2020,66
09/08/2020,55
09/09/2020,56
09/10/2020,70
09/11/2020,137
09/12/2020,161
09/13/2020,153
09/14/2020,140
09/15/2020,119
09/16/2020,98
09/17/2020,68
09/18/2020,54
09/19/2020,59
09/20/2020,50
09/21/2020,61
09/22/2020,61
09/23/2020,58
09/24/2020,61
09/25/2020,56
09/26/2020,63
09/27/2020,66
09/28/2020,65
09/29/2020,54
09/30/2020,43
10/01/2020,58
10/02/2020,65
10/03/2020,70
10/04/2020,96
10/05/2020,95
10/06/2020,84
10/07/2020,80
10/08/2020,81
10/09/2020,75
10/10/2020,67
10/11/2020,61
10/12/2020,49
10/13/2020,41
10/14/2020,52
10/15/2020,55
10/16/2020,40
10/17/2020,48
10/18/2020,68
10/19/2020,72
10/20/2020,85
10/21/2020,91
10/22/2020,64
10/23/2020,60
10/24/2020,48
10/25/2020,21
10/26/2020,64
10/27/2020,99
10/28/2020,69
10/29/2020,55
10/30/2020,54
10/31/2020,58
11/01/2020,40
11/02/2020,56
11/03/2020,64
11/04/2020,55
11/19/2020,49
11/20/2020,48
11/21/2020,50
11/22/2020,52
11/23/2020,60
11/24/2020,67
11/25/2020,63
11/26/2020,60
11/27/2020,12
11/28/2020,11
11/29/2020,18
11/30/2020,12
12/01/2020,18
12/02/2020,23
12/03/2020,15
12/04/2020,31
12/05/2020,36
12/06/2020,35
12/07/2020,17
12/08/2020,3
12/09/2020,38
12/10/2020,58
12/11/2020,63
12/12/2020,80
12/13/2020,60
12/14/2020,43
12/15/2020,17
12/16/2020,29
12/17/2020,31
12/18/2020,28
12/19/2020,20
12/20/2020,27
12/21/2020,23
12/22/2020,43
12/23/2020,53
12/24/2020,31
12/25/2020,30
12/26/2020,49
12/27/2020,56
12/28/2020,10
12/29/2020,18
12/30/2020,17
12/31/2020,25
01/01/2021,10
01/02/2021,38
01/03/2021,66
01/04/2021,71
01/05/2021,81
01/06/2021,52
01/07/2021,35
