date,AQI
02/24/2024,41
02/24/2024,39
02/25/2017,38
02/25/2017,43
02/25/2017,44
02/25/2018,44
02/25/2018,45
02/25/2018,44
02/25/2019,47
02/25/2019,51
02/25/2019,49
02/25/2020,42
02/25/2020,41
02/25/2020,39
02/25/2021,43
02/25/2021,45
02/25/2021,41
02/25/2022,34
02/25/2022,39
02/25/2022,34
02/25/2023,38
02/25/2023,36
02/25/2023,37
02/25/2024,32
02/25/2024,36
02/25/2024,37
02/26/2017,32
02/26/2017,39
02/26/2017,36
02/26/2018,45
02/26/2018,48
02/26/2018,45
02/26/2019,42
02/26/2019,48
02/26/2019,47
02/26/2020,37
02/26/2020,40
02/26/2020,37
02/26/2021,33
02/26/2021,42
02/26/2021,41
02/26/2022,42
02/26/2022,38
02/26/2023,36
02/26/2023,40
02/26/2023,41
02/26/2024,24
02/26/2024,29
02/26/2024,31
02/27/2017,16
02/27/2017,19
02/27/2017,18
02/27/2018,39
02/27/2018,41
02/27/2018,39
02/27/2019,41
02/27/2019,45
02/27/2019,44
02/27/2020,34
02/27/2020,33
02/27/2020,31
02/27/2021,43
02/27/2021,45
02/27/2021,46
02/27/2022,44
02/27/2022,43
02/27/2022,38
02/27/2023,26
02/27/2023,28
02/27/2023,31
02/27/2024,27
02/27/2024,32
02/27/2024,35
02/28/2017,35
02/28/2017,48
02/28/2017,45
02/28/2018,38
02/28/2018,42
02/28/2018,40
02/28/2019,31
02/28/2019,33
02/28/2019,30
02/28/2020,37
02/28/2020,39
02/28/2020,39
02/28/2021,42
02/28/2021,46
02/28/2021,42
02/28/2022,43
02/28/2022,44
02/28/2022,37
02/28/2023,34
02/28/2023,36
02/28/2023,37
02/28/2024,32
02/28/2024,37
02/28/2024,40
02/29/2020,40
02/29/2020,44
02/29/2020,41
02/29/2024,34
02/29/2024,36
03/01/2017,40
03/01/2017,44
03/01/2017,41
03/01/2018,38
03/01/2018,43
03/01/2018,42
03/01/2019,28
03/01/2019,34
03/01/2019,32
03/01/2020,39
03/01/2020,40
03/01/2020,39
03/01/2021,37
03/01/2021,44
03/01/2021,40
03/01/2022,44
03/01/2022,44
03/01/2022,39
03/01/2023,35
03/01/2023,40
03/01/2023,40
03/01/2024,40
03/01/2024,39
